Code,Name,Old Location,New Location,Coming Stock,Stock
,,,COMPRESSOR_TANK_ROUND,,
K5PRO_RED,"B-02-03_KK123_KR_A2_Gaming Headset for PS4, Xbox One",B-02-03,,10,15
KAYAK_SAIL,"C-03-01_KK123_A2_Dyna-Living 42"" Durable Downwind Wind Sail Sup Paddle Board",C-03-01,,10,15
KIDS_TENT,A-02-01_KK123_SR_Kids Play Tent,A-02-01,,10,15
KIDS_TENT_4PCS,B-02-01_KK123_SR_4Pcs Folding Tent For Kids Tipi Crawling,B-02-01,,10,15
KIDS_TENT_5PCS,A-01-03_KK123_SR_KIDS PLAY TENT 5 pcs,A-01-03,,10,15
KNEE_PILLOW_TRIANGLE,C-02-01_Knee Pillow Body Pillow 2023903,C-02-01,,10,15
LAN_RJ45_20M,E-03-01_120M RJ45 Lan Cable,E-03-01,,10,15
LAN_RJ45_30M,B-06-01/_ Lan Cable 30m 523,B-06-01/,,10,15
LAPTOP_STAND,A-07-02_KK123_Laptop Stand,A-07-02,,10,15
LAPTOP_STAND_ROSEGOLD,A-06-01_KK123_Laptop Stand ROSE GOLD,A-06-01,,10,15
LCD_STAND_DOUBLE,E-01-06_KK123_SR_Monitor Stand Bracket Dual Arm Desk Mount Stand,E-01-06,,10,15
LEATHER_CRAFT_TOOL,C-02-02_Leather Carft Tools Kit,C-02-02,,10,15
LEATHER_MASSAGE_CAR,A-02-04_KK123_Leather massage car,A-02-04,,10,15
LED_TOUCH_LAMP,D-01-04_Reading Light Reading Lamp,D-01-04,,10,15
LINT_REMOVER,E-02-03_Lint Remover Electric Machine Maquina Sweater,E-02-03,,10,15
LONG_HUMIDIFIER,C-03-05_Essential Oil Diffuser Aromatherapy Diffuser Mist Humidifier,C-03-05,,10,15
LUXURY_CLOCK_TR4035,C-02-06_KK123_SR_Light luxury iron clock wall clock living room,C-02-06,,10,15
MAC_45W_T,B-04-03_Magsafe 2 charger for Macbook,B-04-03,,10,15
MAC_60W_L,B-04-03_Macbook Charger 60W,B-04-03,,10,15
MAC_60W_T,B-04-03_Macbook Charger 60W Magsafe 2,B-04-03,,10,15
MAC_85W_L,B-04-03_Mag Safe Charger for Macbook 85W,B-04-03,,10,15
MAC_85W_T,B-04-03_ Macbook Charger 85W Magsafe 2,B-04-03,,10,15
MACBOOK_BLACK,D-02-02_KK123_A2_13-inch Macbook Case Bag Universal Laptop Black,D-02-02,,10,15
MACBOOK_GREY,D-02-02_ 13-inch Macbook Case iMac Pro Bag Universal Laptop Sleeve case,D-02-02,,10,15
